ticket_id,customer_id,subject,body,created_at,closed_at,status,priority,category,subcategory,system,channel
TKT-10001,EMP-754,Unhandled Exception reported on Core Banking (T24),Recently future choice whatever from behavior benefit suggest.,2023-11-09 22:46:47,2023-11-09 23:07:39.457640,Closed,High,Software,Unhandled Exception,Core Banking (T24),Email
TKT-10002,EMP-877,Login Failure reported on Mobile Banking App,Southern role movie win her need stop peace technology.,2023-08-23 11:08:04,2023-08-25 05:59:27.699268,Closed,Medium,Software,Login Failure,Mobile Banking App,Service Portal
TKT-10003,EMP-649,Firewall Block reported on Core Banking (T24),Relate animal direction eye bag do big everyone.,2023-08-13 05:18:43,2023-08-13 05:35:09.877568,Closed,Critical,Network,Firewall Block,Core Banking (T24),Phone
TKT-10004,EMP-266,Disk Failure reported on Mobile Banking App,Class great prove reduce raise author play move each left.,2023-09-04 21:00:30,2023-09-06 00:21:11.642586,Closed,Low,Hardware,Disk Failure,Mobile Banking App,Phone
TKT-10005,EMP-886,Packet Loss reported on Core Banking (T24),Detail food shoulder argue start source husband at tree note responsibility defense material.,2023-04-15 20:05:45,2023-04-20 16:00:47.632212,Closed,Low,Network,Packet Loss,Core Banking (T24),Service Portal
TKT-10006,EMP-758,Packet Loss reported on Core Banking (T24),Central cause seat much section investment on gun young catch management.,2023-12-10 13:50:40,2023-12-13 13:33:08.767095,Closed,Low,Network,Packet Loss,Core Banking (T24),Automated Alert
TKT-10007,EMP-256,Switch Port Error reported on Mobile Banking App,Technology check civil quite others his.,2023-10-21 12:24:01,2023-10-21 16:09:03.840849,Closed,High,Hardware,Switch Port Error,Mobile Banking App,Automated Alert
TKT-10008,EMP-214,VPN Drop reported on Core Banking (T24),More wife team activity result race Mr environment political born itself.,2023-08-20 10:04:57,2023-08-21 07:36:39.009694,Closed,Low,Network,VPN Drop,Core Banking (T24),Email
TKT-10009,EMP-652,Packet Loss reported on HR Portal,West then enjoy may condition tree.,2023-12-16 01:15:10,,Open,Critical,Network,Packet Loss,HR Portal,Email
TKT-10010,EMP-680,Disk Failure reported on Mobile Banking App,Participant check several much single morning a food affect upon these story.,2023-11-30 23:25:36,,Open,Low,Hardware,Disk Failure,Mobile Banking App,Phone
TKT-10011,EMP-640,API Timeout reported on Core Banking (T24),Around there water beat magazine attorney set she campaign.,2023-04-30 10:14:21,2023-05-01 01:48:22.551979,Resolved,Medium,Software,API Timeout,Core Banking (T24),Automated Alert
TKT-10012,EMP-702,Disk Failure reported on Core Banking (T24),Close month parent who up sense ready require human public health tonight later.,2023-07-04 13:57:10,2023-07-05 10:30:43.561094,Closed,Medium,Hardware,Disk Failure,Core Banking (T24),Email
TKT-10013,EMP-235,Data Sync Error reported on Internet Banking Portal,Ask again network open according remain arrive attack.,2023-04-07 06:38:52,2023-04-07 07:30:13.817264,Closed,High,Software,Data Sync Error,Internet Banking Portal,Automated Alert
TKT-10014,EMP-200,Disk Failure reported on ATM Switch,Audience draw protect Democrat car very number line six space.,2023-01-13 04:47:23,2023-01-13 08:23:20.068423,Closed,High,Hardware,Disk Failure,ATM Switch,Phone
TKT-10015,EMP-195,MFA Failure reported on Core Banking (T24),Best issue interest level rock pull worker.,2023-11-20 11:41:14,,Open,High,Access,MFA Failure,Core Banking (T24),Phone
TKT-10016,EMP-392,Account Locked reported on Email Server (Exchange),I fund technology eat couple large.,2023-02-08 05:19:15,2023-02-08 09:06:06.944113,Closed,Critical,Access,Account Locked,Email Server (Exchange),Phone
TKT-10017,EMP-973,Unhandled Exception reported on Mobile Banking App,Everything economic type kitchen technology nearly anything yourself.,2023-06-13 20:13:18,2023-06-14 13:12:33.502780,Closed,Low,Software,Unhandled Exception,Mobile Banking App,Email
TKT-10018,EMP-529,VPN Drop reported on Mobile Banking App,Why unit support coach magazine degree.,2023-11-21 16:20:30,2023-11-22 01:51:40.931353,Closed,Medium,Network,VPN Drop,Mobile Banking App,Service Portal
TKT-10019,EMP-174,Server Overheat reported on Internet Banking Portal,Clearly able hospital unit size expect.,2023-06-05 17:57:59,2023-06-05 21:13:07.878949,Closed,Medium,Hardware,Server Overheat,Internet Banking Portal,Phone
TKT-10020,EMP-953,Memory Leak reported on Email Server (Exchange),Product main couple design around save article finish anyone live try most arm.,2023-09-28 12:42:12,2023-09-28 22:26:43.567248,Closed,Low,Hardware,Memory Leak,Email Server (Exchange),Email
TKT-10021,EMP-315,Packet Loss reported on Internet Banking Portal,Surface attention attack technology identify walk now.,2023-07-17 05:18:16,2023-07-19 18:09:16.887812,Closed,Low,Network,Packet Loss,Internet Banking Portal,Service Portal
TKT-10022,EMP-233,Password Reset reported on ATM Switch,Always bank price north first end prove fire enter capital population lead upon.,2023-08-13 19:55:00,2023-08-18 14:25:21.601746,Closed,Low,Access,Password Reset,ATM Switch,Email
TKT-10023,EMP-251,Memory Leak reported on Mobile Banking App,Leader your you available defense enter.,2023-01-29 04:09:03,2023-01-31 04:08:11.947981,Closed,Low,Hardware,Memory Leak,Mobile Banking App,Phone
TKT-10024,EMP-342,Password Reset reported on ATM Switch,These hard citizen street region particularly.,2023-05-16 12:59:53,2023-05-16 14:21:37.297202,Resolved,Critical,Access,Password Reset,ATM Switch,Phone
TKT-10025,EMP-327,Login Failure reported on Mobile Banking App,Account stage federal professional voice care break blood network evening painting response.,2023-11-10 10:43:00,2023-11-10 12:19:51.014587,Closed,Critical,Software,Login Failure,Mobile Banking App,Email
TKT-10026,EMP-218,Latency High reported on Internet Banking Portal,Measure economy traditional anything plant stop analysis four capital.,2023-03-21 01:39:52,2023-03-22 02:35:05.204627,Resolved,Low,Network,Latency High,Internet Banking Portal,Email
TKT-10027,EMP-690,API Timeout reported on Mobile Banking App,Scientist necessary into act away third tough nation.,2023-04-12 17:36:00,2023-04-17 01:49:09.016287,Closed,Low,Software,API Timeout,Mobile Banking App,Automated Alert
TKT-10028,EMP-416,Login Failure reported on Internet Banking Portal,Old challenge camera final together someone team together decide economic.,2023-11-21 02:59:21,2023-11-22 06:18:42.471231,Closed,Low,Software,Login Failure,Internet Banking Portal,Automated Alert
TKT-10029,EMP-393,Packet Loss reported on Internet Banking Portal,Sister this image per choice upon ten wish specific thing.,2023-02-09 22:06:21,2023-02-09 23:52:21.735340,Closed,High,Network,Packet Loss,Internet Banking Portal,Automated Alert
TKT-10030,EMP-779,API Timeout reported on ATM Switch,Say forward us soon ten specific environment skin.,2023-01-10 15:01:32,2023-01-11 01:42:20.052161,Closed,Low,Software,API Timeout,ATM Switch,Phone
TKT-10031,EMP-689,Login Failure reported on Mobile Banking App,The teach develop staff least figure somebody dinner age cover.,2023-02-11 23:31:27,2023-02-12 20:06:09.547645,Closed,Medium,Software,Login Failure,Mobile Banking App,Email
TKT-10032,EMP-575,Account Locked reported on ATM Switch,Ten whom evidence political hundred wonder movie voice boy.,2023-05-08 11:37:23,2023-05-11 10:39:13.441269,Closed,Low,Access,Account Locked,ATM Switch,Automated Alert
TKT-10033,EMP-536,MFA Failure reported on Treasury System,Oil worker although others generation skill job worker.,2023-04-12 10:42:07,2023-04-13 06:47:26.452230,Closed,Medium,Access,MFA Failure,Treasury System,Service Portal
TKT-10034,EMP-179,Disk Failure reported on Mobile Banking App,Tonight couple and job mind southern rather vote say culture.,2023-02-14 21:53:48,2023-02-16 23:49:20.147483,Closed,Low,Hardware,Disk Failure,Mobile Banking App,Phone
TKT-10035,EMP-525,Switch Port Error reported on Mobile Banking App,We TV perhaps professional by tonight.,2023-06-17 11:58:59,2023-06-18 13:30:56.589412,Closed,High,Hardware,Switch Port Error,Mobile Banking App,Automated Alert
TKT-10036,EMP-324,Account Locked reported on Mobile Banking App,Project for recent never court professor here security community.,2023-07-16 22:43:27,2023-07-17 22:09:55.259034,Closed,Medium,Access,Account Locked,Mobile Banking App,Automated Alert
TKT-10037,EMP-758,Packet Loss reported on Core Banking (T24),Image street fight decision size parent focus kid put.,2023-08-10 00:26:43,2023-08-10 03:05:40.830201,Closed,High,Network,Packet Loss,Core Banking (T24),Service Portal
TKT-10038,EMP-329,Disk Failure reported on Internet Banking Portal,Soldier where save probably exist professional people behavior weight dog financial southern.,2023-07-18 12:29:13,2023-07-18 17:26:00.105237,Closed,High,Hardware,Disk Failure,Internet Banking Portal,Phone
TKT-10039,EMP-362,Disk Failure reported on Internet Banking Portal,Animal worker particularly shoulder lay though.,2023-02-27 05:26:18,2023-03-02 07:38:42.789594,Closed,Low,Hardware,Disk Failure,Internet Banking Portal,Service Portal
TKT-10040,EMP-177,Latency High reported on Core Banking (T24),Responsibility himself hundred challenge reach throughout team those.,2023-08-12 13:38:30,2023-08-12 17:04:58.854612,Closed,High,Network,Latency High,Core Banking (T24),Email
TKT-10041,EMP-750,App Crash reported on Core Banking (T24),Despite sound receive let newspaper true building card let most next.,2023-10-30 07:24:14,2023-10-31 05:23:26.840843,Resolved,Medium,Software,App Crash,Core Banking (T24),Service Portal
TKT-10042,EMP-950,MFA Failure reported on Mobile Banking App,Partner rest measure store natural today season listen else easy point.,2023-12-02 19:21:28,,Open,Low,Access,MFA Failure,Mobile Banking App,Service Portal
TKT-10043,EMP-317,Latency High reported on Mobile Banking App,Machine dream key require doctor from throw ball character him check degree.,2023-10-25 09:54:03,2023-10-29 20:44:39.633166,Closed,Low,Network,Latency High,Mobile Banking App,Phone
TKT-10044,EMP-911,API Timeout reported on Mobile Banking App,Former letter artist strategy hope show watch affect thing offer local.,2023-06-11 02:50:56,2023-06-12 17:04:08.700763,Closed,Low,Software,API Timeout,Mobile Banking App,Service Portal
TKT-10045,EMP-357,Login Failure reported on Mobile Banking App,Send table well industry section national owner determine detail.,2023-05-17 14:37:46,2023-05-17 16:53:10.109525,Closed,High,Software,Login Failure,Mobile Banking App,Phone
TKT-10046,EMP-825,VPN Drop reported on Email Server (Exchange),Ahead from quickly identify close level camera performance agree hour north agree.,2023-06-19 06:17:08,2023-06-22 07:51:43.306251,Closed,Low,Network,VPN Drop,Email Server (Exchange),Automated Alert
TKT-10047,EMP-358,MFA Failure reported on ATM Switch,Term consider employee force lawyer front they.,2023-12-13 14:44:24,,Open,Medium,Access,MFA Failure,ATM Switch,Email
TKT-10048,EMP-411,Account Locked reported on Internet Banking Portal,Edge bank affect much yourself glass practice sit prepare senior wear.,2023-04-19 01:32:22,2023-04-20 09:25:36.525119,Closed,Low,Access,Account Locked,Internet Banking Portal,Automated Alert
TKT-10049,EMP-857,Latency High reported on Internet Banking Portal,Perform draw list boy way let.,2023-03-19 10:10:34,2023-03-19 14:34:53.942256,Closed,High,Network,Latency High,Internet Banking Portal,Phone
TKT-10050,EMP-395,API Timeout reported on Mobile Banking App,Cold parent security boy standard who blue agent find quality.,2023-04-10 12:21:51,2023-04-10 16:42:42.311594,Closed,High,Software,API Timeout,Mobile Banking App,Phone
TKT-10051,EMP-227,Packet Loss reported on Mobile Banking App,Walk cup option store drug recent feeling range south someone not.,2023-05-26 18:06:51,2023-05-29 20:59:15.444684,Closed,Low,Network,Packet Loss,Mobile Banking App,Automated Alert
TKT-10052,EMP-790,Latency High reported on Email Server (Exchange),Mouth product attention positive actually information majority item gun through.,2023-01-16 22:47:31,2023-01-17 14:23:52.333055,Closed,Medium,Network,Latency High,Email Server (Exchange),Phone
TKT-10053,EMP-193,Disk Failure reported on Mobile Banking App,Itself safe whole establish space Mrs low.,2023-06-28 13:04:52,2023-06-29 00:58:23.785716,Closed,Medium,Hardware,Disk Failure,Mobile Banking App,Service Portal
TKT-10054,EMP-358,Switch Port Error reported on Mobile Banking App,Environmental system store beautiful think during let particular her agreement surface consider deep.,2023-06-19 03:50:54,2023-06-20 09:12:53.945204,Closed,Critical,Hardware,Switch Port Error,Mobile Banking App,Automated Alert
TKT-10055,EMP-224,API Timeout reported on ATM Switch,Future they red everybody act way beat result major.,2023-11-06 20:20:11,2023-11-06 22:39:17.164366,Closed,Medium,Software,API Timeout,ATM Switch,Email
TKT-10056,EMP-833,MFA Failure reported on Mobile Banking App,Real position make society behavior develop reality fill ok.,2023-10-22 10:36:24,2023-10-22 11:50:05.546475,Closed,High,Access,MFA Failure,Mobile Banking App,Phone
TKT-10057,EMP-940,Account Locked reported on ATM Switch,Most international second former reflect even edge building court build movie several continue.,2023-07-03 19:06:26,2023-07-03 21:53:57.080283,Closed,High,Access,Account Locked,ATM Switch,Automated Alert
